55.0,4.0,19.0,1.0,4220.0,233.0,0.0,38.0,1.0,6.0,>50K
44.0,3.0,21.0,3.0,5740.0,2.0,0.0,40.0,2.0,1.0,<=50K
21.0,1.0,19.0,5.0,9130.0,2.0,0.0,30.0,1.0,9.0,<=50K
65.0,3.0,19.0,5.0,440.0,2.0,5.0,40.0,2.0,1.0,<=50K
26.0,3.0,18.0,5.0,5850.0,2.0,2.0,2.0,1.0,4.0,<=50K
56.0,7.0,21.0,1.0,800.0,27.0,0.0,60.0,1.0,1.0,>50K
40.0,5.0,19.0,3.0,5550.0,25.0,0.0,40.0,2.0,1.0,>50K
48.0,5.0,20.0,1.0,5940.0,2.0,1.0,40.0,1.0,1.0,>50K
29.0,1.0,16.0,1.0,7200.0,6.0,10.0,30.0,1.0,1.0,<=50K
39.0,7.0,18.0,1.0,110.0,56.0,0.0,40.0,1.0,1.0,>50K
19.0,1.0,18.0,5.0,6260.0,2.0,17.0,40.0,1.0,1.0,<=50K
64.0,6.0,16.0,1.0,4760.0,217.0,0.0,10.0,1.0,6.0,<=50K
56.0,5.0,22.0,1.0,9830.0,42.0,0.0,48.0,1.0,1.0,>50K
60.0,3.0,21.0,3.0,120.0,40.0,0.0,50.0,1.0,1.0,>50K
41.0,3.0,18.0,1.0,230.0,16.0,0.0,60.0,1.0,1.0,>50K
24.0,3.0,13.0,5.0,2435.0,2.0,0.0,20.0,1.0,4.0,<=50K
35.0,4.0,23.0,1.0,3090.0,41.0,17.0,40.0,1.0,1.0,<=50K
43.0,4.0,21.0,1.0,1530.0,6.0,0.0,38.0,2.0,9.0,>50K
46.0,1.0,17.0,1.0,4220.0,223.0,0.0,40.0,1.0,6.0,<=50K
45.0,1.0,16.0,5.0,6305.0,2.0,0.0,40.0,1.0,4.0,<=50K
52.0,8.0,16.0,1.0,6115.0,2.0,0.0,9.0,2.0,4.0,<=50K
20.0,4.0,16.0,5.0,4020.0,2.0,2.0,30.0,1.0,4.0,<=50K
20.0,1.0,16.0,5.0,4055.0,2.0,12.0,33.0,1.0,9.0,<=50K
61.0,1.0,16.0,1.0,5560.0,5.0,0.0,40.0,1.0,1.0,<=50K
41.0,5.0,22.0,1.0,9810.0,53.0,0.0,65.0,1.0,1.0,>50K
52.0,7.0,21.0,1.0,310.0,217.0,1.0,40.0,1.0,6.0,>50K
26.0,3.0,19.0,1.0,5400.0,51.0,0.0,40.0,2.0,1.0,<=50K
70.0,6.0,23.0,1.0,2100.0,2.0,1.0,2.0,1.0,1.0,<=50K
30.0,5.0,16.0,1.0,5860.0,2.0,0.0,25.0,1.0,4.0,<=50K
31.0,1.0,19.0,5.0,5860.0,2.0,0.0,40.0,2.0,9.0,>50K
35.0,1.0,17.0,1.0,4110.0,2.0,17.0,40.0,1.0,1.0,<=50K
25.0,1.0,19.0,5.0,2300.0,2.0,12.0,40.0,2.0,1.0,<=50K
41.0,1.0,20.0,3.0,5120.0,1.0,0.0,40.0,2.0,1.0,>50K
22.0,1.0,19.0,5.0,9620.0,2.0,0.0,30.0,1.0,1.0,<=50K
30.0,3.0,19.0,5.0,7220.0,2.0,0.0,40.0,1.0,4.0,>50K
25.0,1.0,19.0,5.0,2810.0,20.0,12.0,84.0,1.0,1.0,<=50K
59.0,1.0,18.0,1.0,5810.0,22.0,1.0,48.0,2.0,1.0,>50K
20.0,2.0,19.0,5.0,2002.0,12.0,17.0,10.0,2.0,1.0,<=50K
62.0,4.0,18.0,1.0,4435.0,2.0,0.0,11.0,1.0,4.0,<=50K
22.0,2.0,16.0,5.0,2555.0,2.0,5.0,40.0,1.0,4.0,<=50K
39.0,6.0,21.0,3.0,3648.0,24.0,15.0,60.0,2.0,1.0,>50K
37.0,7.0,16.0,1.0,4510.0,2.0,1.0,20.0,2.0,1.0,<=50K
44.0,1.0,18.0,1.0,110.0,26.0,1.0,55.0,1.0,1.0,>50K
56.0,3.0,16.0,1.0,2330.0,41.0,0.0,35.0,1.0,1.0,<=50K
56.0,7.0,21.0,1.0,440.0,2.0,1.0,70.0,1.0,4.0,<=50K
62.0,1.0,19.0,1.0,1050.0,29.0,17.0,84.0,1.0,9.0,>50K
44.0,3.0,22.0,1.0,2310.0,19.0,0.0,50.0,2.0,1.0,>50K
24.0,1.0,12.0,5.0,4110.0,6.0,13.0,20.0,1.0,7.0,<=50K
38.0,3.0,20.0,5.0,2310.0,6.0,15.0,40.0,1.0,1.0,<=50K
32.0,4.0,21.0,5.0,5420.0,6.0,2.0,36.0,2.0,1.0,>50K
65.0,1.0,16.0,5.0,9630.0,233.0,10.0,40.0,2.0,6.0,<=50K
52.0,3.0,21.0,1.0,9130.0,2.0,1.0,40.0,1.0,1.0,>50K
47.0,1.0,16.0,1.0,5740.0,6.0,0.0,40.0,2.0,1.0,>50K
62.0,1.0,21.0,1.0,6130.0,17.0,0.0,56.0,1.0,1.0,>50K
28.0,1.0,16.0,5.0,9645.0,4.0,17.0,40.0,1.0,1.0,<=50K
61.0,5.0,16.0,1.0,3740.0,2.0,1.0,99.0,1.0,4.0,<=50K
35.0,1.0,19.0,1.0,5410.0,2.0,0.0,14.0,1.0,5.0,<=50K
34.0,1.0,19.0,5.0,4020.0,41.0,12.0,40.0,2.0,1.0,<=50K
50.0,6.0,20.0,5.0,5420.0,1.0,0.0,43.0,2.0,1.0,<=50K
36.0,2.0,23.0,1.0,2100.0,36.0,1.0,40.0,2.0,1.0,>50K
60.0,3.0,19.0,1.0,9600.0,2.0,1.0,60.0,1.0,9.0,>50K
23.0,1.0,14.0,5.0,4720.0,2.0,11.0,40.0,1.0,4.0,<=50K
24.0,5.0,16.0,1.0,4760.0,2.0,1.0,40.0,2.0,9.0,<=50K
51.0,2.0,21.0,5.0,2002.0,6.0,0.0,45.0,2.0,1.0,>50K
28.0,3.0,16.0,5.0,4020.0,2.0,17.0,35.0,1.0,4.0,<=50K
62.0,2.0,22.0,1.0,410.0,8.0,0.0,40.0,1.0,1.0,>50K
48.0,3.0,19.0,3.0,4920.0,2.0,0.0,35.0,2.0,4.0,<=50K
52.0,5.0,18.0,3.0,3545.0,2.0,0.0,45.0,2.0,4.0,>50K
27.0,4.0,21.0,5.0,2360.0,26.0,0.0,40.0,2.0,1.0,<=50K
65.0,1.0,19.0,1.0,440.0,55.0,1.0,5.0,1.0,1.0,<=50K
18.0,1.0,16.0,5.0,6240.0,2.0,7.0,40.0,1.0,1.0,<=50K
28.0,3.0,16.0,1.0,5740.0,233.0,1.0,38.0,2.0,6.0,>50K
57.0,1.0,14.0,5.0,3602.0,2.0,0.0,99.0,2.0,1.0,>50K
44.0,3.0,21.0,3.0,3150.0,449.0,13.0,40.0,2.0,1.0,>50K
48.0,6.0,18.0,1.0,6230.0,26.0,0.0,35.0,1.0,1.0,>50K
63.0,2.0,16.0,1.0,4600.0,31.0,1.0,9.0,2.0,1.0,<=50K
25.0,5.0,21.0,5.0,9825.0,209.0,17.0,40.0,1.0,1.0,<=50K
22.0,2.0,16.0,5.0,3603.0,2.0,15.0,40.0,2.0,1.0,<=50K
34.0,1.0,24.0,1.0,3160.0,41.0,0.0,36.0,2.0,1.0,>50K
48.0,6.0,17.0,1.0,310.0,51.0,0.0,62.0,2.0,1.0,<=50K
40.0,2.0,22.0,5.0,1650.0,2.0,0.0,40.0,2.0,9.0,>50K
55.0,6.0,16.0,3.0,440.0,12.0,0.0,60.0,1.0,1.0,>50K
62.0,1.0,19.0,1.0,1050.0,29.0,17.0,84.0,1.0,9.0,>50K
27.0,1.0,16.0,1.0,4720.0,233.0,10.0,40.0,2.0,6.0,<=50K
